Размер матрицы (N)	Calculation time (сек)
100	                0.003
200	                0.009
300	                0.016
400	                0.03
500	                0.059
600	                0.094
700	                0.15
800	                0.221
900	                0.317
1000	            0.456
1100	            0.659
1200	            0.872
1300	            1.153
1400	            1.452
1500	            2.008
1600	            2.161
1700	            2.644
1800	            3.159
1900	            3.866
2000	            4.361
